iter	Logloss
0	0.6740620389
1	0.6586718266
2	0.6430850273
3	0.630551428
4	0.616629708
5	0.6030514543
6	0.5916404666
7	0.5814640633
8	0.4225406432
9	0.4219010842
10	0.4168640225
11	0.4122053512
12	0.4076437941
13	0.4022732382
14	0.4009375801
15	0.3948220391
16	0.392686465
17	0.3910624562
18	0.390683128
19	0.3871660046
20	0.3842227074
21	0.3834488162
22	0.3793952911
23	0.3777538992
24	0.3753011088
25	0.3739901927
26	0.3731122658
27	0.3696837703
28	0.3673734445
29	0.3660643863
30	0.3619853525
31	0.3608075412
32	0.3589551501
33	0.357906211
34	0.3568263747
35	0.3554690979
36	0.3517185619
37	0.3477726231
38	0.3453725795
39	0.3395838227
40	0.3367573541
41	0.3338140168
42	0.3323834385
43	0.3306921707
44	0.3282974575
45	0.3262073919
46	0.3229728538
47	0.3206259379
48	0.3197491669
49	0.3162166215
50	0.3134325496
51	0.3101010297
52	0.3073522505
53	0.3051553164
54	0.3024621184
55	0.2981467244
56	0.2960515314
57	0.294842878
58	0.2933819351
59	0.2919738539
60	0.2902612434
61	0.2884530647
62	0.2857767846
4421508416
64	0.4417087884
65	0.4409184089
66	0.4404014136
67	0.4401091949
68	0.439567365
69	0.4392679412
70	0.4388015303
71	0.438078645
72	0.4369995262
73	0.4366808616
74	0.4360448257
75	0.435594483
76	0.4351075316
77	0.4346202234
78	0.4341855372
79	0.4339315623
80	0.4333473773
81	0.432989238
82	0.4326808302
83	0.4321518375
84	0.4318934787
85	0.4316525655
86	0.4314063481
87	0.43102238
88	0.4303013761
89	0.4298084881
90	0.4294790455
91	0.4293072308
92	0.4288347515
93	0.4285116532
94	0.4278559579
95	0.4276579121
96	0.4274995834
97	0.4269429642
98	0.4262564688
99	0.4260875746
100	0.4258567072
101	0.4256344632
102	0.4252869541
103	0.4249999279
