iter	Passed	Remaining
0	2	1324
1	3	1115
2	5	1079
3	6	1054
4	8	1048
5	10	1049
6	12	1036
7	13	1025
8	15	1032
9	17	1032
10	18	1029
11	20	1024
12	22	1019
13	23	1019
14	25	1017
15	27	1011
16	28	1004
17	30	1000
18	32	998
19	33	998
20	35	994
21	36	989
22	38	982
23	40	983
24	41	983
25	43	981
26	45	981
27	47	978
28	48	979
29	50	979
30	52	975
31	53	972
32	55	968
33	57	968
34	58	968
35	60	966
36	62	965
37	63	964
38	65	963
39	67	960
40	68	958
41	70	957
42	72	957
43	74	956
44	75	955
45	77	954
46	79	952
47	81	951
48	82	949
49	84	947
50	86	946
51	87	945
52	89	945
53	91	943
54	93	942
55	94	939
56	96	938
57	98	937
58	99	931
59	101	930
60	103	928
61	104	927
62	107	933
63	108	931
64	110	928
65	112	926
66	114	926
67	115	925
68	117	922
69	119	921
70	120	919
71	122	918
72	124	917
73	126	914
74	127	913
75	129	912
76	131	910
77	133	909
78	135	912
79	137	909
80	138	908
81	140	907
82	142	905
83	144	904
84	145	903
85	147	901
86	149	900
87	151	898
88	153	900
89	155	899
90	157	897
91	158	895
92	160	893
93	162	891
94	163	890
95	165	889
96	167	886
97	169	884
98	170	882
99	172	881
100	174	878
101	175	876
102	177	875
103	179	874
104	181	872
105	182	870
106	184	869
107	186	868
108	188	867
109	189	865
110	191	863
111	193	861
112	195	860
113	196	858
114	198	856
115	200	854
116	201	852
117	203	851
118	205	849
119	207	847
120	208	845
121	210	844
122	212	843
123	214	841
124	216	839
125	217	838
126	219	836
127	221	837
128	223	836
129	225	834
130	227	832
131	228	830
132	230	828
133	232	826
134	233	824
135	235	822
136	237	820
137	238	819
138	240	817
139	242	815
140	244	815
141	246	813
142	248	812
143	249	810
144	251	807
145	253	806
146	255	805
147	256	803
148	258	801
149	260	800
150	262	798
151	263	796
152	265	795
153	267	793
154	269	791
155	270	789
156	272	788
157	274	786
158	276	785
159	278	784
160	280	782
161	281	780
162	283	779
163	285	777
164	287	775
165	288	774
166	290	772
167	292	771
168	294	769
169	295	767
170	297	765
171	299	764
172	301	762
173	302	760
174	304	758
175	306	756
176	307	754
177	309	752
178	311	751
179	312	749
180	314	747
181	316	745
182	318	744
183	319	742
184	321	740
185	323	738
186	324	736
187	326	734
188	328	732
189	329	731
190	331	729
191	333	727
192	334	725
193	336	723
194	338	721
195	340	720
196	342	718
197	343	717
198	345	715
199	347	713
200	348	711
201	350	710
202	352	708
203	354	706
204	355	704
205	357	702
206	359	700
207	360	698
208	362	697
209	364	695
210	365	693
211	367	691
212	369	689
213	370	687
214	372	685
215	374	684
216	376	683
217	378	681
218	379	679
219	381	677
220	382	675
221	384	673
222	386	672
223	388	670
224	389	668
225	391	666
226	392	664
227	394	662
228	396	660
229	397	658
230	399	656
231	401	655
232	402	653
233	404	651
234	405	649
235	407	647
236	409	645
237	410	644
238	412	642
239	414	640
240	415	638
241	417	636
242	419	635
243	420	632
244	422	630
245	423	629
246	425	627
247	427	625
248	429	623
249	430	621
250	432	620
251	434	618
252	436	617
253	437	615
254	439	613
255	441	611
256	443	610
257	445	608
258	446	607
259	448	605
260	450	603
261	452	602
262	453	600
263	455	598
264	457	596
265	459	595
266	460	592
267	461	591
268	463	589
269	465	587
270	467	585
271	468	584
272	470	582
273	472	580
274	473	578
275	475	577
276	477	575
277	479	573
278	480	572
279	482	570
280	484	568
281	485	566
282	487	565
283	489	563
284	491	561
285	492	559
286	494	558
287	496	556
288	497	554
289	499	552
290	501	551
291	502	549
292	504	547
293	506	545
294	507	544
295	509	542
296	511	540
297	512	538
298	514	536
299	516	534
300	517	533
301	519	531
302	521	529
303	522	527
304	524	526
305	526	524
306	527	522
307	529	520
308	531	518
309	532	517
310	534	515
311	536	513
312	537	512
313	539	510
314	541	508
315	542	506
316	544	505
317	546	503
318	547	501
319	549	499
320	551	498
321	552	496
322	554	494
323	556	492
324	557	490
325	559	489
326	561	487
327	562	485
328	564	483
329	566	482
330	568	480
331	569	478
332	571	477
333	573	475
334	575	474
335	577	472
336	578	470
337	580	468
338	582	467
339	583	465
340	585	463
341	587	461
342	588	459
343	590	458
344	592	456
345	593	454
346	595	452
347	596	451
348	598	449
349	600	447
350	601	445
351	603	444
352	605	442
353	606	440
354	608	438
355	610	437
356	611	435
357	613	433
358	615	431
359	616	430
360	618	428
361	619	426
362	621	424
